[38057:0x7caf40c000]      338 ms: Incremental Mark-Compact 5.6 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.43 / 0.00 ms (+ 0.2 ms in 14 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 2 ms) (average mu = 0.983, current mu = 0.981) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      369 ms: Incremental Mark-Compact 5.6 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.44 / 0.00 ms (+ 0.1 ms in 7 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.982, current mu = 0.982) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      401 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.45 / 0.01 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.984, current mu = 0.985) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      430 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.44 / 0.01 ms (+ 0.0 ms in 5 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.984, current mu = 0.984) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      462 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.47 / 0.01 ms (+ 0.1 ms in 7 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.983, current mu = 0.983) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      491 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.43 / 0.00 ms (+ 0.0 ms in 4 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.984, current mu = 0.985) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      522 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.39 / 0.00 ms (+ 0.1 ms in 5 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.985, current mu = 0.985) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      552 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.39 / 0.00 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.985, current mu = 0.986) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      582 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.44 / 0.01 ms (+ 0.1 ms in 6 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.984, current mu = 0.983) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      613 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.40 / 0.00 ms (+ 0.0 ms in 3 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.986, current mu = 0.987) finalize incremental marking via stack guard; GC in old space requested
[38057:0x7caf40c000]      641 ms: Incremental Mark-Compact 5.5 (11.6) -> 4.1 (11.6) MB, pooled: 1.5 MB, 0.37 / 0.00 ms (+ 0.0 ms in 4 steps since start of marking, biggest step 0.0 ms, walltime since start of marking 1 ms) (average mu = 0.986, current mu = 0.986) finalize incremental marking via stack guard; GC in old space requested
